Temporada,Minutos,Rebotes,Assistencias,Bloqueios,Desarmes,Faltas,Tunovers,Pontos,FG_Tentativas,FG_Acertos,3PT_Tentativas,3PT_Acertos,FT_Tentativas,FT_Acertos,Adversario,Placar,V_D,Casa_Fora,Dia_semana,Mes,%FG,%3PT,%FT
2016,35.0,13.0,5.0,0.0,0.0,3.0,2.0,18.0,10,7,2,1,3,3,POR,107-99,D,fora,3,4,0.7,0.5,1.0
2016,36.0,11.0,4.0,1.0,2.0,4.0,1.0,19.0,9,7,2,0,6,5,UTAH,100-84,D,casa,6,4,0.78,0.0,0.83
2016,32.0,15.0,4.0,1.0,1.0,2.0,0.0,8.0,9,3,2,0,2,2,SA,102-98,V,casa,5,4,0.33,0.0,1.0
2016,19.0,2.0,2.0,2.0,0.0,2.0,0.0,7.0,5,3,3,1,0,0,OKC,124-102,D,casa,2,4,0.6,0.33,
2016,32.0,13.0,5.0,2.0,1.0,2.0,0.0,6.0,6,2,1,0,2,2,SAC,115-106,D,casa,6,4,0.33,0.0,1.0
2016,23.0,8.0,3.0,1.0,1.0,1.0,1.0,9.0,7,4,3,1,0,0,NO,101-95,D,fora,4,4,0.57,0.33,
2016,29.0,14.0,1.0,1.0,0.0,5.0,1.0,9.0,6,4,1,1,0,0,MEM,109-105,V,fora,3,3,0.67,1.0,
2016,24.0,8.0,2.0,0.0,2.0,2.0,3.0,2.0,7,1,2,0,0,0,DAL,97-88,D,casa,1,3,0.14,0.0,
2016,21.0,9.0,2.0,0.0,1.0,1.0,0.0,5.0,7,2,1,0,2,1,LAC,105-90,D,fora,6,3,0.29,0.0,0.5
2016,22.0,12.0,4.0,0.0,0.0,3.0,1.0,8.0,9,4,2,0,0,0,LAL,116-105,V,fora,5,3,0.44,0.0,
2016,27.0,8.0,5.0,0.0,1.0,1.0,1.0,18.0,6,5,0,0,12,8,PHI,104-103,V,casa,3,3,0.83,,0.67
2016,23.0,4.0,3.0,0.0,3.0,2.0,2.0,11.0,12,4,1,0,3,3,CLE,124-91,D,fora,0,3,0.33,0.0,1.0
2016,25.0,14.0,4.0,1.0,0.0,6.0,1.0,11.0,16,5,2,1,0,0,CHA,101-93,V,fora,5,3,0.31,0.5,
2016,22.0,5.0,2.0,1.0,1.0,2.0,1.0,8.0,7,4,1,0,0,0,ATL,116-98,D,fora,4,3,0.57,0.0,
2016,25.0,6.0,4.0,1.0,1.0,3.0,2.0,14.0,8,5,1,1,3,3,ORL,116-110,D,fora,1,3,0.62,1.0,1.0
2016,28.0,8.0,4.0,1.0,2.0,2.0,1.0,12.0,10,5,2,1,2,1,MIA,124-119,D,fora,0,3,0.5,0.5,0.5
2016,17.0,5.0,3.0,0.0,0.0,4.0,2.0,0.0,0,0,0,0,0,0,WSH,116-100,V,casa,6,3,,,
2016,27.0,10.0,4.0,3.0,2.0,4.0,0.0,18.0,8,6,2,1,5,5,PHX,116-98,V,casa,4,3,0.75,0.5,1.0
2016,34.0,9.0,3.0,1.0,1.0,0.0,1.0,20.0,20,9,1,0,4,2,NY,110-94,V,casa,2,3,0.45,0.0,0.5
2016,21.0,12.0,3.0,1.0,2.0,4.0,3.0,13.0,11,4,2,0,5,5,DAL,116-114,V,casa,6,3,0.36,0.0,1.0
2016,34.0,12.0,4.0,1.0,1.0,5.0,2.0,15.0,14,6,2,0,3,3,BKN,121-120,D,casa,5,3,0.43,0.0,1.0
2016,28.0,6.0,3.0,2.0,0.0,5.0,1.0,14.0,8,3,2,1,8,7,LAL,117-107,V,casa,3,3,0.38,0.5,0.88
2016,19.0,6.0,3.0,1.0,1.0,2.0,3.0,10.0,4,3,0,0,4,4,MEM,103-96,D,casa,1,3,0.75,,1.0
2016,11.0,4.0,2.0,0.0,0.0,3.0,1.0,5.0,4,2,0,0,2,1,DAL,122-116,D,fora,5,2,0.5,,0.5
2016,26.0,11.0,3.0,1.0,1.0,2.0,3.0,7.0,9,3,4,1,0,0,LAC,87-81,V,fora,3,2,0.33,0.25,
2016,20.0,13.0,6.0,0.0,2.0,5.0,2.0,13.0,8,4,2,1,4,4,SAC,114-110,D,casa,2,2,0.5,0.5,1.0
2016,30.0,13.0,4.0,0.0,2.0,4.0,4.0,23.0,15,10,2,1,2,2,BOS,121-101,D,casa,6,2,0.67,0.5,1.0
2016,4.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0,0,0,0,0,0,SAC,116-110,D,fora,5,2,,,
2016,25.0,6.0,2.0,0.0,1.0,0.0,1.0,5.0,7,2,1,0,1,1,DET,103-92,V,fora,3,2,0.29,0.0,1.0
2016,14.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,5,1,1,0,0,0,BKN,105-104,D,fora,1,2,0.2,0.0,
2016,19.0,6.0,0.0,0.0,1.0,3.0,1.0,13.0,9,4,1,1,4,4,NY,101-96,V,fora,6,2,0.44,1.0,1.0
2016,26.0,12.0,3.0,2.0,0.0,6.0,1.0,16.0,14,6,2,2,2,2,CHI,115-110,V,casa,5,2,0.43,1.0,1.0
