Temporada,Minutos,Rebotes,Assistencias,Bloqueios,Desarmes,Faltas,Tunovers,Pontos,FG_Tentativas,FG_Acertos,3PT_Tentativas,3PT_Acertos,FT_Tentativas,FT_Acertos,Placar_Denver,Placar_Adversario,Dia_semana,Mes,%FG,%3PT,%FT,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DET,GS,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NO,NY,OKC,ORL,PHI,PHX,POR,SA,SAC,TOR,UTAH,WSH,casa,fora,D,V,Leste,Oeste
2016.0,29.0,6.0,4.0,0.0,2.0,5.0,0.0,8.0,9.0,3.0,2.0,1.0,2.0,1.0,81.0,85.0,3.0,2.0,0.33,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2016.0,30.0,14.0,4.0,1.0,0.0,3.0,2.0,27.0,18.0,12.0,3.0,1.0,4.0,2.0,112.0,93.0,1.0,2.0,0.67,0.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2016.0,35.0,11.0,2.0,0.0,5.0,4.0,3.0,16.0,15.0,7.0,2.0,1.0,1.0,1.0,105.0,109.0,6.0,1.0,0.47,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2016.0,25.0,10.0,3.0,1.0,1.0,5.0,0.0,15.0,12.0,7.0,1.0,0.0,3.0,1.0,117.0,113.0,4.0,1.0,0.58,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
2016.0,19.0,7.0,4.0,1.0,1.0,2.0,3.0,3.0,6.0,1.0,0.0,0.0,2.0,1.0,103.0,111.0,3.0,1.0,0.17,,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2016.0,18.0,10.0,3.0,1.0,2.0,2.0,0.0,15.0,7.0,5.0,1.0,0.0,6.0,5.0,105.0,119.0,1.0,1.0,0.71,0.0,0.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2016.0,32.0,5.0,3.0,3.0,2.0,3.0,0.0,17.0,11.0,7.0,1.0,1.0,2.0,2.0,104.0,101.0,6.0,1.0,0.64,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2016.0,14.0,2.0,2.0,0.0,2.0,3.0,0.0,9.0,3.0,2.0,0.0,0.0,5.0,5.0,101.0,102.0,4.0,1.0,0.67,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2016.0,19.0,3.0,1.0,0.0,1.0,2.0,1.0,6.0,4.0,2.0,1.0,0.0,2.0,2.0,104.0,110.0,2.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2016.0,24.0,2.0,3.0,0.0,4.0,2.0,1.0,18.0,11.0,6.0,3.0,1.0,6.0,5.0,129.0,126.0,0.0,1.0,0.55,0.33,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2016.0,18.0,6.0,5.0,1.0,0.0,2.0,1.0,9.0,7.0,4.0,0.0,0.0,1.0,1.0,95.0,98.0,5.0,1.0,0.57,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2016.0,16.0,7.0,2.0,0.0,3.0,4.0,1.0,6.0,6.0,3.0,1.0,0.0,0.0,0.0,112.0,110.0,3.0,1.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2016.0,23.0,7.0,9.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,95.0,92.0,0.0,1.0,0.5,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2016.0,19.0,5.0,1.0,0.0,0.0,2.0,1.0,9.0,4.0,4.0,1.0,1.0,0.0,0.0,84.0,91.0,5.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2016.0,26.0,5.0,3.0,0.0,0.0,1.0,2.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,78.0,74.0,3.0,1.0,0.4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2016.0,22.0,10.0,2.0,1.0,2.0,5.0,2.0,9.0,7.0,3.0,1.0,0.0,4.0,3.0,106.0,112.0,0.0,1.0,0.43,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2016.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,111.0,6.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2016.0,18.0,6.0,1.0,2.0,0.0,0.0,2.0,10.0,6.0,3.0,0.0,0.0,4.0,4.0,103.0,110.0,3.0,12.0,0.5,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
