Temporada,Date,ADV,Resultado,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,V,BLK,STL,PF,TO,PTS,Estat. Temporada Regular
2016,november,november,november,18.1,3.1-5.7,53.5,0.1-0.4,33.3,1.7-2.5,70.3,5.1,0.9,0.5,0.9,1.9,1.1,8.0,
2016,Sáb 31/10,xMIN,D95-78,18.0,5-8,62.5,0-0,0.0,0-0,0.0,9.0,1.0,0.0,0.0,3.0,2.0,10.0,
2016,Qui 29/10,emHOU,V105-85,4.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,
2016,october,october,october,11.0,3.0-4.5,66.7,0.0-0.0,0.0,0.0-0.0,0.0,4.5,0.5,0.0,0.0,1.5,1.5,6.0,
2017,Qui 13/4,emOKC,V111-105,40.0,9-14,64.3,0-0,0.0,11-14,78.6,16.0,8.0,5.0,1.0,4.0,4.0,29.0,
2017,Qua 12/4,emDAL,V109-91,20.0,3-6,50.0,1-3,33.3,0-0,0.0,8.0,4.0,0.0,0.0,2.0,1.0,7.0,
2017,Dom 9/4,xOKC,D106-105,31.0,8-16,50.0,1-5,20.0,6-6,100.0,6.0,3.0,1.0,1.0,5.0,3.0,23.0,
2017,Sáb 8/4,xNO,V122-106,29.0,9-13,69.2,2-2,100.0,3-4,75.0,12.0,5.0,0.0,2.0,1.0,7.0,23.0,
2017,Qui 6/4,emHOU,D110-104,34.0,6-17,35.3,0-5,0.0,0-0,0.0,19.0,9.0,1.0,5.0,3.0,2.0,12.0,
2017,Qua 5/4,emNO,V134-131,34.0,10-18,55.6,0-2,0.0,1-2,50.0,12.0,4.0,0.0,0.0,2.0,1.0,21.0,
2017,Dom 2/4,emMIA,V116-113,35.0,9-16,56.3,0-2,0.0,1-1,100.0,10.0,7.0,0.0,2.0,2.0,1.0,19.0,
2017,april,april,april,31.9,7.7-14.3,54.0,0.6-2.7,21.1,3.1-3.9,81.5,11.9,5.7,1.0,1.6,2.7,2.7,19.1,
2017,Sex 31/3,emCHA,D122-114,37.0,11-16,68.8,2-3,66.7,2-3,66.7,13.0,10.0,0.0,0.0,4.0,2.0,26.0,
2017,Qua 29/3,emPOR,D122-113,36.0,7-14,50.0,1-6,16.7,2-2,100.0,8.0,8.0,2.0,0.0,4.0,3.0,17.0,
2017,Seg 27/3,xNO,D115-90,18.0,4-14,28.6,0-3,0.0,0-0,0.0,13.0,2.0,0.0,0.0,3.0,0.0,8.0,
2017,Sex 24/3,emIND,V125-117,34.0,12-18,66.7,1-2,50.0,5-5,100.0,16.0,5.0,0.0,1.0,2.0,4.0,30.0,
2017,Qui 23/3,xCLE,V126-113,29.0,8-10,80.0,0-0,0.0,0-0,0.0,10.0,7.0,0.0,0.0,2.0,3.0,16.0,
2017,Ter 21/3,emHOU,D125-124,40.0,7-14,50.0,0-3,0.0,8-8,100.0,13.0,8.0,1.0,0.0,3.0,5.0,22.0,
2017,Dom 19/3,xHOU,D109-105,22.0,7-14,50.0,1-2,50.0,1-1,100.0,5.0,4.0,1.0,0.0,5.0,3.0,16.0,
2017,Sex 17/3,xLAC,V129-114,30.0,7-12,58.3,0-1,0.0,3-3,100.0,14.0,10.0,0.0,0.0,2.0,2.0,17.0,
2017,Ter 14/3,xLAL,V129-101,24.0,8-13,61.5,0-3,0.0,2-2,100.0,9.0,4.0,0.0,1.0,2.0,1.0,18.0,
2017,Dom 12/3,emSAC,V105-92,30.0,7-12,58.3,1-3,33.3,5-5,100.0,14.0,2.0,0.0,2.0,1.0,2.0,20.0,
2017,Sáb 11/3,xBOS,V119-99,27.0,8-10,80.0,1-2,50.0,4-6,66.7,10.0,7.0,1.0,4.0,4.0,7.0,21.0,
2017,Dom 5/3,xCHA,D112-102,33.0,13-15,86.7,0-0,0.0,5-8,62.5,14.0,4.0,0.0,1.0,1.0,4.0,31.0,
